taxid	kingdom	phylum	class
431322	Kin_Sar	Bacillariophyta	Bacillariophyceae
1267170	Kin_Sar	Apicomplexa	Conoidasida
692887	Kin_Sar	Ciliophora	Heterotrichea
1629884	Kin_Sar	Bacillariophyta	Bacillariophyceae
1051714	Kin_Sar	Bacillariophyta	Bacillariophyceae
81526	Kin_of_Choanoflagellata	Phy_of_Choanoflagellata	Choanoflagellata
513281	Kin_Sar	Ciliophora	Spirotrichea
180228	Kin_Amoebozoa	Discosea	Flabellinia
59669	Kin_Sar	Apicomplexa	Conoidasida
1487712	Kin_Sar	Ciliophora	Litostomatea
2849679	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
5997	Kin_Sar	Ciliophora	Litostomatea
517293	Kin_Sar	Ciliophora	Litostomatea
39455	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
58156	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1882216	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
2291459	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1764936	Kin_Sar	Phy_of_Bigyra	Bigyra
42463	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
188541	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
3000	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
2022782	Kin_Sar	Ciliophora	Odontostomatea
1973196	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
197897	Kin_Sar	Ciliophora	Litostomatea
31360	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
941345	Kin_Sar	Ciliophora	Colpodea
715184	Kin_Sar	Apicomplexa	Marosporida
12968	Kin_Sar	Phy_of_Bigyra	Bigyra
641208	Kin_Sar	Ciliophora	Spirotrichea
979873	Kin_Sar	Apicomplexa	Conoidasida
197753	Kin_Sar	Bacillariophyta	Bacillariophyceae
2049902	Kin_Sar	Apicomplexa	Conoidasida
1259757	Kin_Sar	Bacillariophyta	Bacillariophyceae
1176377	Kin_Sar	Ciliophora	Spirotrichea
35677	Kin_Sar	Phy_of_Pelagophyceae	Pelagophyceae
2604072	Kin_Sar	Phy_of_Bigyra	Bigyra
2679983	Kin_Sar	Bacillariophyta	Bacillariophyceae
1335100	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
378514	Kin_Sar	Ciliophora	Heterotrichea
44058	Kin_Sar	Phy_of_Pelagophyceae	Pelagophyceae
2301441	Kin_Sar	Bacillariophyta	Bacillariophyceae
246125	Kin_Sar	Phy_PX clade	Phaeophyceae
274051	Kin_Sar	Ciliophora	Oligohymenophorea
373003	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
947554	Kin_Sar	Apicomplexa	Conoidasida
142113	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
460927	Kin_Sar	Endomyxa	Phytomyxea
699229	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
2031160	Kin_Sar	Ciliophora	Spirotrichea
909417	Kin_Sar	Ciliophora	Colpodea
1273162	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
569956	Kin_Amoebozoa	Tubulinea	Elardia
31369	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
1384505	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1485074	Kin_Amoebozoa	Discosea	Flabellinia
304865	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
178362	Kin_Sar	Cercozoa	Imbricatea
1560094	Kin_Sar	Phy_of_Bigyra	Bigyra
1912740	Kin_Amoebozoa	Tubulinea	Elardia
2100531	Kin_Sar	Ciliophora	Spirotrichea
311387	Kin_Sar	Ciliophora	Spirotrichea
210618	Kin_Sar	Bacillariophyta	Fragilariophyceae
346242	Kin_Sar	Ciliophora	Spirotrichea
2267218	Kin_Sar	Apicomplexa	Conoidasida
1326771	Kin_of_Cryptophyceae	Phy_of_Cryptophyceae	Cryptophyceae
1276107	Kin_Sar	Cercozoa	Imbricatea
1181717	Kin_Sar	Phy_of_Synchromophyceae	Synchromophyceae
197754	Kin_Sar	Bacillariophyta	Bacillariophyceae
2219889	Kin_Sar	Ciliophora	Nassophorea
77580	Kin_of_Rhodophyta	Rhodophyta	Bangiophyceae
1882006	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
2691108	Kin_Sar	Cercozoa	Thecofilosea
2606500	Kin_Sar	Ciliophora	Spirotrichea
2774197	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1004047	Kin_Sar	Ciliophora	Spirotrichea
195065	Kin_of_Cryptophyceae	Phy_of_Cryptophyceae	Cryptophyceae
655751	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1538751	Kin_Sar	Ciliophora	Colpodea
2174430	Kin_Sar	Bacillariophyta	Fragilariophyceae
260685	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1035525	Kin_Sar	Phy_of_Pelagophyceae	Pelagophyceae
112066	Kin_Sar	Phy_PX clade	Phaeophyceae
235081	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
459246	Kin_Sar	Ciliophora	Colpodea
1197881	Kin_Sar	Ciliophora	Spirotrichea
2782298	Kin_Sar	Ciliophora	Oligohymenophorea
216773	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
186022	Kin_Sar	Bacillariophyta	Fragilariophyceae
373019	Kin_Sar	Phy_of_Chrysophyceae	Chrysophyceae
693926	Kin_Sar	Ciliophora	Oligohymenophorea
2072404	Kin_Sar	Cercozoa	Thecofilosea
265525	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
2602412	Kin_Sar	Bacillariophyta	Bacillariophyceae
692909	Kin_Sar	Ciliophora	Oligohymenophorea
173545	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
209636	Kin_of_Rhodophyta	Rhodophyta	Florideophyceae
420356	Kin_Sar	Phy_of_Bigyra	Bigyra
2604075	Kin_Sar	Phy_of_Bigyra	Bigyra
271680	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
210444	Kin_Sar	Bacillariophyta	Mediophyceae
1286874	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1590144	Kin_Sar	Ciliophora	Spirotrichea
2981	Kin_Sar	Phy_PX clade	Xanthophyceae
947553	Kin_Sar	Apicomplexa	Conoidasida
459254	Kin_Sar	Ciliophora	Colpodea
1004023	Kin_Sar	Ciliophora	Spirotrichea
363326	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1213619	Kin_Sar	Phy_of_Developea	Developea
935693	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1905167	Kin_Sar	Ciliophora	Karyorelictea
41631	Kin_Sar	Ciliophora	Colpodea
935273	Kin_Sar	Apicomplexa	Conoidasida
1417853	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
1538795	Kin_Sar	Ciliophora	Colpodea
455043	Kin_Sar	Bacillariophyta	Fragilariophyceae
363325	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
5927	Kin_Sar	Ciliophora	Oligohymenophorea
2883651	Kin_of_Cryptophyceae	Phy_of_Cryptophyceae	Cryptophyceae
2681690	Kin_Sar	Ciliophora	Spirotrichea
265575	Kin_Sar	Bacillariophyta	Coscinodiscophyceae
1857752	Kin_Sar	Ciliophora	Spirotrichea
1654995	Kin_Amoebozoa	Evosea	Variosea
1978403	Kin_Sar	Ciliophora	Spirotrichea
569951	Kin_Amoebozoa	Tubulinea	Elardia
139907	Kin_of_Rhodophyta	Rhodophyta	Stylonematophyceae
1267453	Kin_Sar	Ciliophora	Spirotrichea
188967	Kin_Sar	Cercozoa	Imbricatea
2689568	Kin_Sar	Endomyxa	Ascetosporea
180227	Kin_Amoebozoa	Discosea	Flabellinia
261844	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
587064	Kin_Sar	Ciliophora	Oligohymenophorea
198622	Kin_Sar	Ciliophora	Oligohymenophorea
2723225	Kin_Sar	Phy_of_Dinophyceae	Dinophyceae
90339	Kin_of_Ichthyosporea	Phy_of_Ichthyosporea	Ichthyosporea
